LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,LITRES/CAPITA,Flag Codes,DATE_CORRECTED
AUT,ALCOHOL,TOT,LT_CAP15,A,2003,12.3,,1/1/2003
AUT,ALCOHOL,TOT,LT_CAP15,A,2004,12.1,,1/1/2004
AUT,ALCOHOL,TOT,LT_CAP15,A,2005,12.2,,1/1/2005
AUT,ALCOHOL,TOT,LT_CAP15,A,2006,12.5,,1/1/2006
AUT,ALCOHOL,TOT,LT_CAP15,A,2007,12.5,,1/1/2007
AUT,ALCOHOL,TOT,LT_CAP15,A,2008,12,,1/1/2008
AUT,ALCOHOL,TOT,LT_CAP15,A,2009,11.8,,1/1/2009
AUT,ALCOHOL,TOT,LT_CAP15,A,2010,12.1,,1/1/2010
AUT,ALCOHOL,TOT,LT_CAP15,A,2011,11.9,,1/1/2011
AUT,ALCOHOL,TOT,LT_CAP15,A,2012,12.1,,1/1/2012
AUT,ALCOHOL,TOT,LT_CAP15,A,2013,11.9,,1/1/2013
AUT,ALCOHOL,TOT,LT_CAP15,A,2014,12.2,,1/1/2014
AUT,ALCOHOL,TOT,LT_CAP15,A,2015,11.2,,1/1/2015
AUT,ALCOHOL,TOT,LT_CAP15,A,2016,11.4,,1/1/2016
AUT,ALCOHOL,TOT,LT_CAP15,A,2017,11.3,,1/1/2017
AUT,ALCOHOL,TOT,LT_CAP15,A,2018,11.3,,1/1/2018
AUT,ALCOHOL,TOT,LT_CAP15,A,2019,11.6,,1/1/2019
AUT,ALCOHOL,TOT,LT_CAP15,A,2020,11.3,,1/1/2020
AUT,ALCOHOL,TOT,LT_CAP15,A,2021,11.1,,1/1/2021
BEL,ALCOHOL,TOT,LT_CAP15,A,1963,9.9,,1/1/1963
BEL,ALCOHOL,TOT,LT_CAP15,A,1964,10.5,,1/1/1964
BEL,ALCOHOL,TOT,LT_CAP15,A,1965,10.8,,1/1/1965
BEL,ALCOHOL,TOT,LT_CAP15,A,1966,10.3,,1/1/1966
BEL,ALCOHOL,TOT,LT_CAP15,A,1967,10.7,,1/1/1967
BEL,ALCOHOL,TOT,LT_CAP15,A,1968,11.2,,1/1/1968
BEL,ALCOHOL,TOT,LT_CAP15,A,1969,11.5,,1/1/1969
BEL,ALCOHOL,TOT,LT_CAP15,A,1970,12.4,,1/1/1970
BEL,ALCOHOL,TOT,LT_CAP15,A,1971,12.6,,1/1/1971
BEL,ALCOHOL,TOT,LT_CAP15,A,1972,13,,1/1/1972
BEL,ALCOHOL,TOT,LT_CAP15,A,1973,13.8,,1/1/1973
BEL,ALCOHOL,TOT,LT_CAP15,A,1974,13.4,,1/1/1974
BEL,ALCOHOL,TOT,LT_CAP15,A,1975,13.5,,1/1/1975
BEL,ALCOHOL,TOT,LT_CAP15,A,1976,13.6,,1/1/1976
BEL,ALCOHOL,TOT,LT_CAP15,A,1977,13.5,,1/1/1977
BEL,ALCOHOL,TOT,LT_CAP15,A,1978,13.4,,1/1/1978
BEL,ALCOHOL,TOT,LT_CAP15,A,1979,13.6,,1/1/1979
BEL,ALCOHOL,TOT,LT_CAP15,A,1980,14,,1/1/1980
BEL,ALCOHOL,TOT,LT_CAP15,A,1981,13.3,,1/1/1981
BEL,ALCOHOL,TOT,LT_CAP15,A,1982,13.7,,1/1/1982
BEL,ALCOHOL,TOT,LT_CAP15,A,1983,13.6,,1/1/1983
BEL,ALCOHOL,TOT,LT_CAP15,A,1984,13.3,,1/1/1984
BEL,ALCOHOL,TOT,LT_CAP15,A,1985,13.1,,1/1/1985
BEL,ALCOHOL,TOT,LT_CAP15,A,1986,12.7,,1/1/1986
BEL,ALCOHOL,TOT,LT_CAP15,A,1987,13.2,,1/1/1987
BEL,ALCOHOL,TOT,LT_CAP15,A,1988,12.5,,1/1/1988
BEL,ALCOHOL,TOT,LT_CAP15,A,1989,11.6,,1/1/1989
BEL,ALCOHOL,TOT,LT_CAP15,A,1990,12.2,,1/1/1990
BEL,ALCOHOL,TOT,LT_CAP15,A,1991,11.4,,1/1/1991
BEL,ALCOHOL,TOT,LT_CAP15,A,1992,11.7,,1/1/1992
BEL,ALCOHOL,TOT,LT_CAP15,A,1993,11.7,,1/1/1993
BEL,ALCOHOL,TOT,LT_CAP15,A,1994,11.1,,1/1/1994
BEL,ALCOHOL,TOT,LT_CAP15,A,1995,11,,1/1/1995
BEL,ALCOHOL,TOT,LT_CAP15,A,1996,10.9,,1/1/1996
BEL,ALCOHOL,TOT,LT_CAP15,A,1997,10.9,,1/1/1997
BEL,ALCOHOL,TOT,LT_CAP15,A,1998,9.9,,1/1/1998
BEL,ALCOHOL,TOT,LT_CAP15,A,1999,10.1,,1/1/1999
BEL,ALCOHOL,TOT,LT_CAP15,A,2000,11.2,,1/1/2000
BEL,ALCOHOL,TOT,LT_CAP15,A,2001,11,,1/1/2001
BEL,ALCOHOL,TOT,LT_CAP15,A,2002,11.3,,1/1/2002
BEL,ALCOHOL,TOT,LT_CAP15,A,2003,11.3,,1/1/2003
BEL,ALCOHOL,TOT,LT_CAP15,A,2004,12.1,,1/1/2004
BEL,ALCOHOL,TOT,LT_CAP15,A,2005,12.2,,1/1/2005
BEL,ALCOHOL,TOT,LT_CAP15,A,2006,10.9,,1/1/2006
BEL,ALCOHOL,TOT,LT_CAP15,A,2007,10.3,,1/1/2007
BEL,ALCOHOL,TOT,LT_CAP15,A,2008,10.5,,1/1/2008
BEL,ALCOHOL,TOT,LT_CAP15,A,2009,10.1,,1/1/2009
BEL,ALCOHOL,TOT,LT_CAP15,A,2010,10.3,,1/1/2010
BEL,ALCOHOL,TOT,LT_CAP15,A,2011,10.1,,1/1/2011
BEL,ALCOHOL,TOT,LT_CAP15,A,2012,10.1,,1/1/2012
BEL,ALCOHOL,TOT,LT_CAP15,A,2013,10.3,,1/1/2013
